t,n_vectors,mean_speed,median_speed,mean_abs_divergence,median_abs_divergence,mean_abs_curl,median_abs_curl,mean_gradient_magnitude,median_gradient_magnitude,mean_strain_magnitude,median_strain_magnitude,max_strain_magnitude,max_gradient_magnitude
18,186,3.934358164218617,3.643669140596538,0.021721002187150732,0.01666666666666667,0.023317364426018602,0.0171875,0.037482654933546196,0.032794048488105285,0.03147301209560994,0.02766284802061194,0.15534503557605245,0.15818335138771716
19,176,3.523777401540414,3.2664763002993507,0.024147676350046735,0.01863839285714286,0.020983747642183807,0.014334331033549783,0.03647138689855239,0.03278501298841222,0.03132393270670686,0.02904139171586717,0.09653902533912764,0.11582470851568838
20,172,6.275691864325302,5.9679434606690815,0.037138132651739035,0.03246407374723145,0.03425694254978559,0.024311236849390922,0.056281813445000724,0.05206656474551227,0.048004835621646445,0.0441901890248217,0.1654381808007652,0.23157822052650423
21,148,8.453833966969336,8.232726023485647,0.046951543423249496,0.03457493766087516,0.051594450839594415,0.04373519445785071,0.08369722960822029,0.07485760853258706,0.07084852685030564,0.06271427188166304,0.20303375354389971,0.21124270615284632
22,172,7.604469246472133,7.37908529425296,0.03714864088240533,0.031941675895164265,0.0320376624980148,0.026536126684200807,0.056290068685558074,0.05266938033846379,0.049046632705596456,0.04504878382810297,0.12596022040734198,0.13365541340046797
23,180,5.159066834019686,4.333333333333333,0.02929595902532824,0.024479166666666666,0.02674844836983147,0.020580357142857143,0.04478591452319584,0.03961858742576439,0.03757714360555324,0.031803256934023624,0.23832051433898296,0.23886961357862724
24,187,3.705066041147581,3.400367627183861,0.01828109063265559,0.015541801948051943,0.021724645740649202,0.01583333333333333,0.03303637140077272,0.03055654196640131,0.027294888156345034,0.0244962263250213,0.08363557309007032,0.10120436424672248
25,182,4.626888152715103,4.346134936801766,0.025195427807464203,0.0197212751286412,0.022464245925723065,0.017708333333333333,0.03931690516423557,0.03568526769423841,0.03392158032625631,0.03149665216587083,0.10862091237034728,0.10993408694405124
26,171,4.511054238334193,4.049691346263317,0.021425040122235412,0.01875,0.022726448390306502,0.017458751044277358,0.034707843155300906,0.03118118841178083,0.028570747239261986,0.026133353688545777,0.12122083010485134,0.13619067414651795
27,175,3.144922984460822,3.0270885857738703,0.016556678004535145,0.011299121315192742,0.018205685779073534,0.014583333333333332,0.027729495600180364,0.024693872243714412,0.02284156774262913,0.020567658209594768,0.08932682400752266,0.09895671410517133
28,158,7.112951181855766,6.65830720661201,0.04082916661897895,0.032528113698010855,0.050134074813763564,0.04036458333333333,0.07408117876242686,0.0679055239916401,0.06102667859255592,0.05670224177292938,0.24907140618087237,0.27906624804408847
29,128,9.69044179274688,9.981136544606041,0.041911463056291856,0.03307291666666667,0.05495763052077521,0.04182291666666667,0.07873336004404649,0.06226275730490649,0.06411912810178472,0.05064365661479313,0.22385310068001454,0.28884561807848086
