t,n_vectors,mean_speed,median_speed,mean_abs_divergence,median_abs_divergence,mean_abs_curl,median_abs_curl,mean_gradient_magnitude,median_gradient_magnitude,mean_strain_magnitude,median_strain_magnitude,max_strain_magnitude,max_gradient_magnitude
13,285,2.9691432840890197,2.553951940045637,0.01339101149558028,0.01093769678846002,0.01373265019545965,0.011760552134364844,0.022297499991959346,0.019827596385882655,0.018698615858234586,0.01616205358982913,0.05703692599177083,0.058681208103044585
14,285,6.245760908127475,5.251935613117967,0.027605109943744804,0.024096066504716875,0.029855876394448606,0.02290084511041642,0.04735587832471721,0.0440830788751507,0.039764675749051015,0.03792424296956128,0.10673975758456633,0.12004697671252909
15,284,4.659020783124138,4.2558583714888085,0.022218848382800655,0.017348281154409048,0.023375513451749187,0.017347251810133454,0.03842516659634428,0.03501677860629836,0.03210582085785531,0.02865255778417889,0.11768426405698397,0.11803534890789767
16,284,6.129715981565897,5.048665549744043,0.02330947951226185,0.018910349532961848,0.01917281835363909,0.013992727454751726,0.0356578489388618,0.03262265170629842,0.031233970599882546,0.029075978685432213,0.0887293483099779,0.08887700472865817
17,284,2.8035183443621383,2.336387539389415,0.012881556398715252,0.009053109586238863,0.013442213201886,0.009709185734391213,0.02163643157039143,0.01773164455062213,0.01801431874297817,0.014509036970550143,0.09509719675947267,0.09655466545982946
18,284,2.614797505589354,2.408538860463112,0.010989189993055811,0.0094863981617968,0.012998177176408226,0.009833255782723427,0.01972306186178458,0.01768728079387456,0.015992164658012037,0.014301264592255003,0.05245236402180322,0.053854031489713995
19,284,2.5846547917888523,2.319578703482102,0.013199710031997623,0.010324043221771717,0.013131600783553158,0.010910121933557091,0.02194616829161087,0.020441912162467598,0.01871811171061753,0.017496654657633566,0.0828654055346941,0.08383788209477115
20,284,5.690233932996843,4.610941353953391,0.03689164902352086,0.022905565053224566,0.020451119107462157,0.013887931772222428,0.05133335161541976,0.03594607492991998,0.04753837046159105,0.03330052188324582,0.361277754213571,0.36213647474773125
21,283,8.753303009519106,7.0791288523645965,0.03466769487043468,0.02677038609981537,0.0394446067134175,0.030888186860829593,0.06314256264969498,0.05825214210826568,0.05313285946041127,0.044651703298255276,0.16686872375694567,0.17329243797756086
22,283,5.989275276565483,5.919824377205883,0.02306301301315701,0.01684585511684418,0.018881857135979858,0.014282477647066114,0.03583002421436636,0.033044804970192104,0.03160475099652767,0.02827236564396028,0.09292736742759344,0.09308482121947141
23,283,4.281571122822569,3.331932308113553,0.021256227926589787,0.018527986854314803,0.018148072095609133,0.013589182123541831,0.03311932881538942,0.029254948669826742,0.02881709602194372,0.026054555090703934,0.13246780771597166,0.14044028740663433
24,283,2.9789499447105414,2.760939036161299,0.012179086428232297,0.010900749266147612,0.01458182664656628,0.012534623220562934,0.02233786750596286,0.02073487796009176,0.018270680310130395,0.016724240095000238,0.06513993007987423,0.07581807266257087
25,282,3.726272055999016,3.6071594869773502,0.015693413600501475,0.011462511273566633,0.013425377950220968,0.01117734955623746,0.02520733372621575,0.023555763487717735,0.022109083731001147,0.020659344857121124,0.08669491201768184,0.10288798112848187
26,281,3.5776846814431904,3.158158911289781,0.012998631509513645,0.011116088088601827,0.01045287286551514,0.009025293274316937,0.019057125510916935,0.016854927187511134,0.016723969982276557,0.01473695711266869,0.055562778538357324,0.055562779453908175
27,282,2.250759100677418,2.0866018088908205,0.01188618429223619,0.008527144417166711,0.009370362018626826,0.00639293985441327,0.018089327255503333,0.015460964002743181,0.015908853802916456,0.01323308672517727,0.08466914864611594,0.0856154334361968
28,282,12.12173126791815,10.225034312285908,0.05694293195782158,0.03582262033596635,0.054227221794588096,0.041632931679487215,0.08696334120138076,0.06841620021447462,0.07296654050492289,0.054892979237642595,0.4887982797965439,0.49892603056860857
29,283,30.978366419981242,26.88442287442444,0.17963482179441678,0.1185261607170105,0.09114567541815702,0.06292623938061298,0.2250249481228925,0.18502715280925922,0.2083162993538523,0.16937071717734373,0.7398311471885083,0.7450892605476542
